Job Title,old description,cleaned_description,Job Description
 Designer - Civil Structural ( TC7927 ),"fabrication,tekla,substation,civil,pumps,layout,vessels,service,columns,engineering design",fabrication tekla substation civil pump layout vessel service column engineering design,"['text column', 'chart type column', 'text column feature', 'civil engineering technician', 'pcb layout design']"
 Electronics Hardware Engineer:,"wireless,industrial,analog,circuit designing,technical,oscilloscope,battery,hardware,sensors,it management",wireless industrial analog circuit designing technical oscilloscope battery hardware sensor management,"['sensor integration', 'wireless communication', 'wireless networking', 'wireless security', 'wireless network security']"
 Electrical and Electronics- Assistant Professor,"teaching,educator,counselor,mentor,trainer,advisor",teaching educator counselor mentor trainer advisor,"['nurse educator', 'financial advisor', 'corporate trainer', 'public health educator', 'investment advisor']"
 Skating Coach-,"teaching,educator,counselor,mentor,trainer,advisor",teaching educator counselor mentor trainer advisor,"['nurse educator', 'financial advisor', 'corporate trainer', 'public health educator', 'investment advisor']"
 Lead Data Analytics,"statistical modeling,data analytics,data visualization,fraud analytics,business intelligence,communication skills,excel,advanced excel",statistical modeling datum analytic datum visualization fraud analytic business intelligence communication skill excel advanced excel,"['advanced statistical analysis excel', 'marketing analytic datum visualization', 'datum analytic', 'advanced analytic big datum', 'excel']"
 Assistant Manager - Rural Term Loan,"relationship management,loans,team management,operational risk,networking,nbfc,branch sales,product sales,sales executive,management",relationship management loan team management operational risk networking nbfc branch sale product sale sale executive management,"['risk management', 'relationship management', 'influencer management', 'cloud risk management', 'sale manager']"
 Tools Development Engineer,"c++,networking,perl,rest,network programming,development,c,windows,tools,programming,python,scripting",perl rest network programming development c window tool programming python script,"['network automation script python', 'sql programming', 'network traffic analysis tool', 'network security automation script', 'functional programming']"
Informatica Administration,"configuration management,informatica administration,data quality,windows,dbms,outsourcing,operations,sql server dba,system administration,linux administration",configuration management informatica administration data quality window dbms outsourcing operation sql server dba system administration linux administration,"['system administration', 'database administration', 'window server', 'informatica', 'data lake management']"
" Android Developer- Santacruz East, Mumbai","java,android application development,java architecture,android development,android sdk,devops,android",java android application development java architecture android development android sdk devop android,"['android development', 'mobile app development android', 'java', 'secure devop', 'secure devop toolchain']"
 PROTOCOL STACK - MODEM SENIOR ENGINEER,"software design,rf,coding,shell scripting,debugging,protocol stack,perl,cdma,lte",software design rf coding shell scripting debugging protocol stack perl cdma lte,"['shell scripting', 'blockchain interoperability protocol', 'stack development', 'rf system', 'z shell zsh']"
 Branch Service Partner,"compliance,management,customer satisfaction,mis,business planning,customer service,service quality,iso 9001-2000,auditing,six sigma",compliance management customer satisfaction mis business planning customer service service quality iso sigma,"['customer satisfaction analysis', 'iso', 'gdpr compliance', 'customer persona development', 'customer support']"
" Urgent Opening For Special Educator - Vibgyor High, Magarpatta, Pune","bed,team handling,special educator,school,special education teacher,teaching",bed team handling special educator school special education teacher teach,"['elementary school teacher', 'high school teacher', 'school counselor']"
 QC Chemist / Trainee Chemist - B.Sc. - Chemistry -,"chemistry,qc,chemical,chemical engineering",chemistry qc chemical chemical engineering,['chemical engineer']
 Perl Developer/ Sr.developer/ Lead,"java,perforce,oops,perl,rest,xml,javascript,ruby,web services,catalyst,python",java perforce oop perl rest xml javascript ruby web service catalyst python,"['ruby', 'perl', 'rest', 'web api development rest', 'python']"
 Financial Accountant,"business administration,budget preparation,payroll,financial statements,back office,hotel accounts,corporate finance,ms office,balance sheet,auditing",business administration budget preparation payroll financial statement office hotel account corporate finance ms office balance sheet audit,"['budget', 'marketing budget management', 'combine datum multiple sheet', 'corporate attorney']"
 Requisition Title - Developer,"hibernate,core java,web services,jquery,eclipse,jsf,recruitment",hibernate core java web service jquery eclipse jsf recruitment,"['java', 'web scrape']"
 front desk executive,"front office executive,sales,front desk executive,bfsi recruitment,sales executive,monitoring",office executive sale desk executive bfsi recruitment sale executive monitor,"['executive reporting', 'executive assistant', 'database monitor', 'sale manager', 'sale analysis']"
 Java Developer,"software development,software developer,java,j2ee,spring,structs,hibernate",software development software developer java spring struct hibernate,"['secure software development', 'software development manager', 'agile software development', 'software architecture', 'software engineer']"
 Team Lead - Operations,"business process,it services,career development,automation,technology management,data services,data management,consulting,ms office word",business process service career development automation technology management datum service datum management consulting ms office word,"['datum ownership accountability', 'datum lake', 'datum ownership', 'datum ethic', 'datum exploration']"
 Business Analyst,"business analysis,design development,proposal development,client communication,it services,wireframing,requirement gathering",business analysis design development proposal development client communication service wireframing requirement gathering,"['cryptocurrency development', 'requirement engineer', 'datum analysis product development', 'communication', 'sentiment analysis']"
 Urgent Opening For the Profile of Relationship Manager,"revenue generation,equity sales,mutual funds sales,client acquisition,insurance sales,hni client handling,cross selling,demat,direct sales",revenue generation equity sale mutual fund sale client acquisition insurance sale hni client handling cross selling demat direct sale,"['sale manager', 'sale analysis', 'market client']"
 Network Manager Sales Jobs in Delhi Gurgaon ,"copyright,advertising agency,cv,email,network operations,trade marketing,tools,prospecting,sales manager,information technology",copyright advertising agency cv email network operation trade marketing tool prospecting sale manager information technology,"['g network technology', 'network traffic analysis tool', 'email marketing', 'network monitoring tool', 'network documentation tool']"
Java Developer with Security Pune Location 5-9 yrs,"tomcat,jaxb,jboss,xsd,html,fortify,spring,jdk,core java,hp fortify,xml,owasp,mybatis",tomcat jaxb jboss xsd html fortify spring jdk core java hp fortify xml owasp mybatis,[]
 Sr Manager Financial / Regulatory Reporting,"finance,life insurance,regulatory reporting,financial reporting",finance life insurance regulatory reporting financial reporting,"['regulatory reporting', 'executive reporting', 'reporting dashboard', 'database reporting visualization', 'analytic reporting platform']"
 UI Developer - Html5/css3/javascript,"jquery,ux,ui,html5,javascript,data visualization,d3.js,css3",jquery ux ui datum visualization,"['datum storytelle visualization', 'geospatial datum visualization', 'datum lineage visualization', 'datum visualization', 'datum visualization matplotlib']"
 UI / UX Designer - Photoshop / Illustrator,"css,azure,illustrator,js,sketch,html,photoshop",css azure illustrator js sketch html photoshop,"['sketch', 'azure', 'illustrator', 'microsoft azure', 'css']"
 Junior Java Developer,"hibernate,core java,web services,bootstrap,j2ee,spring",hibernate core java web service bootstrap spring,"['java', 'resampling method bootstrap', 'web scrape', 'web service soap']"
Walk-in For Asst Branch Manager,"nse,general insurance,branch management,bse,sales operations,graduate,fresher,b.a freshers,bba freshers,graduate fresher,b.com freshers",nse general insurance branch management bse sale operation graduate fresher fresher bba fresher graduate fresher fresher,[]
 Senior Counsellor (UK Admissions ),"counselling,overseas education,student visa",counselling overseas education student visa,"['big datum education', 'datum science education training']"
 Adeeba BPO - Tech/ CCE/ International Process/ Night Shifts,"bpo,outbound,technical support associate,international process,sales,technical,us shift,antivirus,technical support,comp",bpo outbound technical support associate international process sale technical shift antivirus technical support comp,"['technical support engineer', 'support', 'technical support specialist', 'technical writing', 'technical documentation']"
 Sales co-ordinator,"customer service,data entry,communication skills,customer service skills,administration,computer skills,co ordinator,experience,efficient,support",customer service datum entry communication skill customer service skill administration computer skill co ordinator experience efficient support,"['communication skill', 'omnichannel customer experience', 'customer support', 'interpersonal skill', 'presentation skill']"
 Communication- Assistant Professor,"teaching,educator,counselor,mentor,trainer,advisor",teaching educator counselor mentor trainer advisor,"['nurse educator', 'financial advisor', 'corporate trainer', 'public health educator', 'investment advisor']"
 Business Development Manager (healthcare Sales)- Bangalore,"b2b sales,business development management",sale business development management,"['cryptocurrency development', 'influencer management', 'customer persona development', 'secure software development', 'sale manager']"
 AVP Business Operations- Senior Leadership Role- IIT/ IIM (7-12 Years),"business head,avp,leadership,top management,general management,business planning,consulting,team management,senior management,startup,saas,iim,corporate strategy,program management,project management",business head avp leadership management general management business planning consulting team management senior management startup saas iim corporate strategy program management project management,"['influencer management', 'project management', 'project management', 'project management tool', 'relationship management']"
 Business Analyst,"requirements management,uml,management accounting,new business development,business process modeling,hr,swot analysis,solution design,proposals,business management",requirement management uml management accounting new business development business process model hr swot analysis solution design proposal business management,"['topic model', 'influencer management', 'datum model exploration', 'model robustness testing', 'big data model monitoring management']"
 Sr.Project Manager,pmp,pmp,[]
Principal Scientist Formulation Development,"communication skills,risk analysis,data management,quality management,medical,formulation development",communication skill risk analysis datum management quality management medical formulation development,"['risk management', 'datum analysis quality control', 'datum quality', 'big datum risk management', 'communication skill']"
 Chinese Language Expert (service Operations),"campaigns,digital marketing,project planning",campaign digital marketing project planning,"['digital marketing', 'marketing campaign analysis', 'creative campaign planning', 'digital marketing specialist', 'influencer marketing']"
 Walkin For UI Lead Professionals with Angular 2.0 and Above Experience,"ui developer,ui development",ui developer ui development,"['mobile ui ux design', 'web design user interface ui market', 'ux ui design prototyping', 'web developer', 'cryptocurrency development']"
 Executive Sales,"market intelligence,od,co,online sales,executive sales,relationship building,prospecting,scanning,web design,pricing,billing",market intelligence od co online sale executive sale relationship building prospect scanning web design pricing billing,"['relationship building', 'product pricing analysis', 'business intelligence']"
 Enterprise Sales Manager Network Security,"sales,hunting,key account management,farming,rfi,rfp,solution design",sale hunting key account management farming rfi rfp solution design,"['fintech solution', 'telemedicine solution']"
 Network Engineer - Datacenter,"network administration,datacenter,wlan,project management,ospf,bgp,mpls,eigrp,fcoe,lacp",network administration datacenter wlan project management ospf bgp mpls eigrp fcoe lacp,[]
 Manager/ Senior Manager - Business Development,"business development management,road shows,senior management,team leading,corporate sales,business development,lead generation,lead management,targets,digital marketing,target achievement",business development management road show senior management team lead corporate sale business development lead generation lead management target digital marketing target achievement,"['personalization target marketing', 'adobe target', 'lead generation technique', 'influencer management', 'market segmentation target']"
 Immediate Hiring For Executive-accounts at Manesar Location,"computer savvy,vendor payments,excel,finance,general accounting,vendor reconciliation,strong interpersonal skills,budgeting,mis reporting,cfo",computer savvy vendor payment excel finance general accounting vendor reconciliation strong interpersonal skill budgeting mis reporting cfo,"['vendor analysis', 'interpersonal skill']"
 Deputy Branch Manager - Agency Recruitment,"agent recruitment,life insurance sales,sales planning,sales",agent recruitment life insurance sale sale planning sale,"['insurance agent', 'center agent', 'sale manager', 'sport agent', 'sale analysis']"
 Visual Merchandiser,"visual merchandising,visual design,fashion merchandising,retail merchandising,visual merchandiser,merchandising,apparel merchandiser,apparel merchandising",visual merchandising visual design fashion merchandising retail merchandising visual merchandiser merchandising apparel merchandiser apparel merchandising,"['fashion merchandiser', 'visual storytelling marketing']"
 Senior IVR CVP Developer,"ms sql,ivr,xml,weblogic,jsp,tools,vxml,jdbc,oracle,asp",ms sql ivr xml weblogic jsp tool vxml jdbc oracle asp,['oracle']
 Hiring Inbound CCE for Tech Sales (US/ UK process,"outbound,sales process,technical,international bpo,technical support,uk process,bonus,customer care executive",outbound sale process technical international bpo technical support uk process bonus customer care executive,"['process', 'technical support engineer', 'customer support', 'technical support specialist', 'technical writing']"
 Codeigniter Developers,"javascript,jquery,ajax,bootstrap,json,angularjs,css,html5,node.js,xml,react.js,codeigniter,laravel,oops,mvc,mysql,api",javascript jquery ajax bootstrap json angularjs css xml codeigniter laravel oop mvc mysql api,"['laravel', 'api management', 'json', 'graphql api development', 'css preprocessor']"
 Hiring For Our Esteemed Client In Pune,"international voice process,telecom",international voice process telecom,"['process', 'voice search optimization', 'process improvement', 'process documentation']"
 Business Analyst - spt (purchasing),"data analysis,excel,purchase,data management,business analysis,external reporting,ms office,root cause,buyer activities,educational qualification",datum analysis excel purchase datum management business analysis external reporting ms office root cause buyer activity educational qualification,"['datum analysis root cause analysis', 'root cause analysis', 'datum analysis', 'histogram datum analysis', 'datum analysis toolpak']"
 Senior Statistical Programming,"data science,html,android,computer science,statistical programming,data migration,standard operating procedures,programming,sas programming,analytics",datum science html android computer science statistical programming datum migration standard operating procedure programming sas programming analytic,"['sql programming', 'datum science podcast', 'datum science big datum analytic', 'datum science finance', 'functional programming']"
 Technical Support Engineer For Accenture Through Artech (freshers),"bca,international bpo,software,l1,mca,trainee,cbse,icse,fresher,technical support,voice process,service desk,b.e,b.tech,b tech,b e,engineer,helpdesk,customer support,bsc,computer hardware,msc",bca international bpo software trainee cbse icse fresher technical support voice process service desk b tech b e engineer helpdesk customer support bsc computer hardware msc,"['technical support engineer', 'customer support', 'support', 'software engineer']"
 Looking For Business Development Management - Digital Company,"software,proposal writing,online lead generation,email marketing,digital marketing,social media marketing,business development management,web design,communication skills,guru,seo,web development,mobile app",software proposal writing online lead generation email marketing digital marketing social medium marketing business development management web design communication skill guru seo web development mobile app,"['mobile app marketing', 'web app development', 'social medium influencer marketing', 'influencer marketing', 'omnichannel marketing']"
 Project Manager - Fitout,"building construction,matrix,program management,customer satisfaction,project management,corporate,consultancy,management,construction management,supervision",build construction matrix program management customer satisfaction project management corporate consultancy management construction management supervision,"['influencer management', 'project management', 'project management', 'rapport build', 'build automation']"
 Site Engineers,"site,site engineers,civil,engineering,engineer",site site engineer civil engineering engineer,"['civil engineer', 'nuclear engineer', 'software engineer', 'cross site scripting xss', 'technical support engineer']"
 Network Engineer,"nse,networking,technology consulting,shift lead,network security,incident management,technical lead,ccna,load balancing,cisco",nse networking technology consulting shift lead network security incident management technical lead ccna load balancing cisco,"['network security incident management', 'network security incident prioritization', 'network security incident playbook development', 'network security incident analysis', 'network security incident report']"
 Urgent Opening for VP - Sales with Hosiery Company,"sales,fmcg,channel sales,distribution channel sales,modern trade",sale fmcg channel sale distribution channel sale modern trade,"['youtube channel management', 'fiber channel', 'sale manager', 'sale analysis']"
 ASST Mgr-training,"assistant manager,hrd,email,supply chain,freight forwarding,training needs,performance management,budgeting,forecasting,com",assistant manager hrd email supply chain freight forwarding training need performance management budgeting forecasting com,"['supply chain manager', 'big datum supply chain management', 'datum analysis supply chain optimization', 'sale forecasting', 'business forecasting']"
 Account Manager/ Sr. Account Manager (digital),"account manager,client servicing,key account manager,account management,digital strategy,brand solutions,brand management",account manager client servicing key account manager account management digital strategy brand solution brand management,"['account manager', 'brand manager', 'brand strategy', 'emotional marketing brand emotion', 'brand designer']"
 Java Developer,"java beans,jsp,j2ee,web services,xml,xsl,sql,orm,web technologies,core java",java bean jsp web service xml xsl sql orm web technology core java,"['java', 'web scrape', 'web service soap', 'web analytic', 'web developer']"
 Technical Support KVM,"help desk,customer service,customer relationship,access controls,asset management,vendor management",help desk customer service customer relationship access control asset management vendor management,"['asset management', 'customer relationship management crm', 'relationship management', 'big datum access control management', 'secure network access control']"
 SAP Basis Admin | Media &amp; Entertainment Co. | Delhi,"technical support,project management,complaint management,sap basis administration,database administrator,csat,shrinkage",technical support project management complaint management sap basis administration database administrator csat shrinkage,"['database administrator', 'database administration', 'database management', 'project management', 'project management']"
 factory manager production,"estimation,pa,port,procedures,harness,pharma,events",estimation pa port procedure harness pharma event,"['event producer', 'webinar event marketing', 'event planning management', 'event network', 'security breach cost estimation']"
 Senior Peoplesoft Certified Functional Consultant,"peoplecode,application engine,application design,peoplesoft,sql,fscm,query management,service level,regression testing,functional consultancy",peoplecode application engine application design peoplesoft sql fscm query management service level regression testing functional consultancy,"['functional testing regression testing', 'decentralize application dapps', 'regression', 'unreal engine', 'regression analysis']"
Salesforce Lightning,"automation,technical design,agile methodology,outsourcing,high level design,budgeting,troubleshooting,operations,salesforce",automation technical design agile methodology outsourcing high level design budgeting troubleshooting operation salesforce,"['agile methodology', 'experiment design', 'agile methodology scrum', 'project budgeting', 'automation']"
" Required, 10th,12th Pass, Graduates For bpo, Call Center, data Entry","bpo,calling,data entry,bpo fresher,data entry operator,dataentry operator,call center,international bpo",bpo call datum entry bpo fresher datum entry operator dataentry operator center international bpo,"['datum entry validation', 'datum entry edit', 'datum exploration', 'datum masking tokenization', 'datum stewardship']"
 Net Developer,"javascript,sql,xml,performance tuning,server,css,software,administration,web development,developing,analytics,oop,database,iis,web,design,asp.net,agile,html,api,ajax,development,website,sdlc,jquery,.net,mvc,applications",javascript sql xml performance tuning server css software administration web development develop analytic oop database iis web design agile html api ajax development website sdlc mvc application,"['web development html', 'web api development rest', 'web analytic', 'agile software development', 'graphql api development']"
 RECRUITING TECH CALLERS AT Adeeba Group - UK/US Shift,"outbound,customer service,technical support,sales,technical,inbound calls,us shift,inbound voice process,antivirus,comp",outbound customer service technical support sale technical inbound call shift inbound voice process antivirus comp,"['technical support engineer', 'customer support', 'technical support specialist', 'technical writing', 'technical documentation']"
 Pulmonologists-reputed Hospital-mumbai,pulmonology,pulmonology,[]
 Business Management-cm,"accounting,payable management,control plan,accounts payable,business management",accounting payable management control plan account payable business management,"['project plan', 'network resilience plan', 'influencer management', 'team capacity plan', 'security incident communication plan']"
" Freshers Medical Coding Jobs- Bsc Nursing, Staff Nurse, GNM, DGNM","biotechnology,gnm,microbiology,nursing,biomedical,biochemistry,pharmacy",biotechnology gnm microbiology nursing biomedical biochemistry pharmacy,"['biomedical engineer', 'nursing assistant', 'pharmacy technician', 'biomedical scientist']"
 Administration Head_hyderabad,"administration manager,admin manager,facility management,administration management,housekeeping,security",administration manager admin manager facility management administration management housekeeping security,"['manager', 'system administration', 'sale manager', 'database administration', 'project manager']"
UI Developer,"css,dreamweaver,html5,ui development,jquery mobile,ajax,javascript,xhtml,xml,adobe cs5,html,xslt,web 2.0",css dreamweaver development jquery mobile ajax javascript xhtml xml adobe xslt web,"['adobe xd', 'css', 'css', 'css preprocessor', 'mobile marketing']"
 Billing Engineer (apply Kinesishr4@gmail.com),"estimation,tender,checking,physical,boq,contract,rate analysis,billing engineering,billing engineer",estimation tender checking physical boq contract rate analysis billing engineering billing engineer,['nuclear engineer']
 Python Developer,"data science,data analytics,python",datum science datum analytic python,"['datum science big datum analytic', 'datum analytic', 'datum science podcast', 'datum storytelle', 'datum ownership accountability']"
 Food & Beverage Controller,"consumer durable,fmcg,beverage,food",consumer durable fmcg beverage food,"['consumer survey market research', 'consumer behavior analysis', 'ai food quality inspection']"
 Area Sales Manager/ ASM1,"retail,area sales management,distribution,distributor sales,outlet,fmcg,sales planning,primary sales,route planning",retail area sale management distribution distributor sale outlet fmcg sale planning primary sale route planning,"['retail sale associate', 'sale manager', 'sale analysis', 'product development planning', 'route switch']"
 Credit Research Analyst - Indian Market - BFSI,"credit analysis,credit risk,credit research,cfa",credit analysis credit risk credit research cfa,"['big datum credit scoring', 'ai credit risk assessment', 'market research analysis', 'risk management']"
 Executive Assistant,"executive,assistant executive",executive assistant executive,"['executive assistant', 'chiropractic assistant', 'photographer assistant', 'research assistant', 'nursing assistant']"
 BUSINESS DEVELOPMENT EXECUTIVE,"web technologies,business development executive,open",web technology business development executive open,"['web scrape', 'web development html', 'cryptocurrency development', 'web app development', 'g network technology']"
 AB &amp; Oiler,"c++,c,design,mysql,javascript,html",design mysql javascript html,"['mysql', 'html', 'javascript', 'javascript', 'experiment design']"
 Institutional Sales Manager (garment/sportswear/workwear Industry),"sales management,customer acquisition,institutional sales,garments,apparels,sales,marketing,business development,bdm,bde,corporate sales manager",sale management customer acquisition institutional sale garment apparel sale marketing business development bdm bde corporate sale manager,"['sale manager', 'sale analysis', 'sale funnel optimization', 'sale forecasting', 'corporate attorney']"
 C++ Developer - Spatial Customer Success,"c++,application development,data structures,debugging,cad,social media,computer science,life sciences,geometry",development datum structure debugging cad social medium computer science life science geometry,"['datum science podcast', 'datum science finance', 'datum science consulting', 'social medium datum analysis', 'datum structure']"
 Functional Consultant,"finance,functional consultant",finance functional consultant,"['consultant', 'functional programming', 'financial consultant', 'decentralize finance defi', 'tax consultant']"
 Operation Executive - Domestic,domestic,domestic,[]
 Front End Lead For a Leading E Commerce Startup,"front end,css,team management,team leader,html5,team handling",end css team management team leader handle,"['miss datum handle', 'imbalance datum handle', 'team network', 'ransomware incident handle', 'red team blue team exercise']"
 Manager at abc Pvt Ltd,"procurement,inventory management,production planning,admin,logistics management",procurement inventory management production planning admin logistic management,"['inventory management', 'datum analysis inventory management', 'datum analysis logistic planning', 'inventory analysis', 'big datum inventory management']"
Delivery Module Lead,"document management system,project management,system administration,delivery module lead,sdlc processes",document management system project management system administration delivery module lead sdlc process,"['system administration', 'recommender system', 'database management system sql', 'system analysis', 'control system']"
 Sr. Accountant OR C.A.,"project reports,icwa,banking,taxation,accounts handling",project report icwa banking taxation account handle,"['miss datum handle', 'imbalance datum handle', 'ransomware incident handle', 'datum report', 'error handling exception handle']"
 software development,"vision plus,software development,min,project,communication skills",vision plus software development min project communication skill,"['computer vision', 'min', 'communication skill', 'big datum machine vision', 'robotic vision system']"
 Android Developer,"six sigma,c,python,assembly language,pmp,javascript,.net,html,oracle,sql",sigma c python assembly language pmp html oracle sql,"['metaquote language', 'oracle', 'datum query language sql', 'python', 'html']"
 Iinbound Voice (day/night Shift),"outbound,technical support,night shift,bulk hiring,sales,uk process,inbound calls,us shift,antivirus,comp",outbound technical support night shift bulk hiring sale uk process inbound call shift antivirus comp,[]
 Lead - Problem Management,"incident management,it infrastructure",incident management infrastructure,"['security incident response team sirt incident recovery incident playbook', 'security incident playbook', 'security incident triage prioritization', 'security incident response team sirt incident management tool', 'security incident management training']"
Lead Accountant,"accounting,oracle financials,finance,customer service,accountant",accounting oracle financial finance customer service accountant,"['tax accountant', 'decentralize finance defi', 'oracle', 'public accountant', 'sentiment analysis finance']"
 Hiring is going on for Inbound Tech Support in Saltlake,"bpo,process,technical support,outbound,english,us shift,night shift,international bpo",bpo process technical support outbound english shift night shift international bpo,"['support', 'process', 'technical support engineer']"
 Urgent Requirement For Credit Analyst AND Experienced 2 To 3 Years INT,credit analysis,credit analysis,"['goal seek analysis', 'geospatial analysis', 'clickstream analysis', 'survival analysis', 'cohort analysis']"
 Executive/Sr. Executive,"healthcare,formulation,pharmacovigilance,formulation development,printing executive,executive,literature",healthcare formulation pharmacovigilance formulation development printing executive executive literature,[]
 Marketing Research Executive / Executive Assistant,"marketing research,personal assistant,secretary,executive assistant,marketing analyst",marketing research personal assistant secretary executive assistant marketing analyst,"['research assistant', 'executive assistant', 'photographer assistant', 'chiropractic assistant', 'marketing analyst']"
 Senior Business Development Manager,"project management,information technology,risk management,computer science,tools,internal communication,verbal communication,project documentation,ms office,web technologies",project management information technology risk management computer science tool internal communication verbal communication project documentation ms office web technology,"['project management tool', 'verbal communication', 'project management', 'project management', 'data science project management tool']"
 Brand Servicing Manager,"customer profiling,market research,sales executive,marketing executive,distributors,sales strategy,business development",customer profiling market research sale executive marketing executive distributor sale strategy business development,"['marketing strategy development', 'market research', 'market customer', 'market research analysis', 'market research tool']"
 Coordinator,"coordinator,business executive,change",coordinator business executive change,"['marketing coordinator', 'change management', 'event coordinator', 'social medium coordinator', 'network change management']"
 Director - Temple( 8-12 Years)preferably Female,stock management,stock management,['influencer management']
 Industrial Sales/ OEM Sales / Industrial Equipment & Machinery,"oem sales,industrial product sales,industrial products,sales engineer,industrial sales,technical sales,kam,key account manager,corporate sales,calling,proposal",oem sale industrial product sale industrial product sale engineer industrial sale technical sale kam key account manager corporate sale call proposal,"['industrial engineer', 'industrial designer', 'sale manager', 'industrial control system ics security', 'industrial robotic programming']"
 Software Engineer / Senior Software Enginee,"php,mysql,jquery,apache,data structures,agile,debugging,scrum,database design,front end",php mysql jquery apache datum structure agile debugging scrum database design end,"['datum structure', 'apache superset', 'apache nifi', 'apache flink', 'scrum']"
 Business Development Manager - Animal Nutrition Vertical - Biotechnolo,"business development management,b2b sales,technical sales,promotion planning,strategy,technical support,animal nutrition,article writing,sales,pharma sales",business development management sale technical sale promotion planning strategy technical support animal nutrition article writing sale pharma sale,"['animal behaviorist', 'technical writing', 'animal trainer', 'sale manager', 'sale analysis']"
" Business Development Manager India, S-E Asia & APAC","business development management,sales,bdm,client acquisition,rfp,project development,product development,business intelligence reporting,advanced analytics,data visualization",business development management sale bdm client acquisition rfp project development product development business intelligence reporting advanced analytic datum visualization,"['cryptocurrency development', 'marketing analytic datum visualization', 'datum storytelle visualization', 'datum visualization', 'geospatial datum visualization']"
"Software Engineer, :NO Resume Campaign C++, Python","java,oracle sql,html,c++,software engineering,python,unix,mvc,html5,spring",java oracle sql html engineering python unix mvc,"['unix', 'oracle', 'python', 'html', 'java']"
 Associate Manager - Banking Operations - Trade Ops,"trade finance,service quality,core banking,analytical skills,business administration,service level,interpersonal skills,banking,banking products,operations",trade finance service quality core banking analytical skill business administration service level interpersonal skill banking banking product operation,"['interpersonal skill', 'communication skill']"
 AM - Powerplant,"power plant,export import",power plant export import,"['import export datum', 'datum import export', 'power query transform', 'power bi', 'power bi']"
 Senior Software Engineer - Javascript/react.js,"angularjs,jquery,senior software engineer,javascript,backbone.js,react.js",angularjs jquery senior software engineer javascript,"['software engineer', 'nuclear engineer', 'software quality assurance engineer', 'technical support engineer', 'javascript']"
 Huge Opening In International Web Selling Process,"night shift,process,outbound process,web technologies,bonus,time,open,b2b",night shift process outbound process web technology bonus time open,"['process', 'time management', 'process improvement', 'web scrape', 'process documentation']"
 Wordpress Developer,"css,wordpress,javascript,cms,php,html",css wordpress javascript cms php html,"['wordpress', 'css preprocessor', 'css', 'css', 'php']"
 Training Coordinator / Marketing Executive,"administration,logistics executive,training coordinator,marketing executive",administration logistic executive training coordinator marketing executive,"['marketing coordinator', 'event coordinator', 'social medium coordinator', 'human resource coordinator', 'training support']"
 Student Counselor,student counsellor,student counsellor,[]
 Accountant,"accounting,tds,income tax,taxation,gst,banking,data entry",accounting tds income tax taxation gst banking datum entry,"['datum entry validation', 'tax consultant', 'datum entry edit', 'tax accountant', 'datum exploration']"
" QA Manager, Senior QA Engineer","qa,selenium,architecture,automation testing,product development,people,devops",qa selenium architecture automation testing product development people devop,"['secure devop', 'devop', 'secure devop toolchain', 'selenium', 'serverless architecture']"
 Excellent Opening for Office Assistant in Gurgoan,"back office,office administration",office office administration,"['system administration', 'database administration']"
IBM DATA Power,"datapower,ibm datapower,ibm websphere",datapower ibm datapower ibm websphere,"['ibm biginsight', 'ibm cloud']"
 GUI developer,"php,open source,mysql,xml,javascript,ajax,application programming,css3,jquery,business executive",php open source mysql xml javascript ajax application programming business executive,"['bap advanced business application programming', 'php', 'mysql', 'consolidate datum multiple source', 'decentralize application dapps']"
 PHP Developer,"ajax,javascript,mysql,development,software development,btech,software,level,testing,mca,jquery,xhtml,coding,database,computer science,web,php",ajax javascript mysql development software development btech software level testing mca jquery xhtml coding database computer science web php,"['secure software development', 'software development manager', 'agile software development', 'cryptocurrency development', 'secure software development life cycle ssdlc']"
" Wanted Pharmacist For Dubai, Qatar, Oman, Abudhabi and Saudi Arabia",clinical pharmacist,clinical pharmacist,"['pharmacist', 'clinical research coordinator', 'big datum clinical research', 'clinical dietitian', 'clinical nurse specialist']"
 Sr. Customer Service Executive Required Inbond Tech US Process,"outbound,sales,spot,technical,inbound calls,us process,antivirus,technical support,comp",outbound sale spot technical inbound call process antivirus technical support comp,"['technical support engineer', 'technical support specialist', 'technical writing', 'technical documentation', 'technical illustrator']"
 Service Engineer,"help desk,customer service,customer relationship,access controls,asset management,vendor management",help desk customer service customer relationship access control asset management vendor management,"['asset management', 'customer relationship management crm', 'relationship management', 'big datum access control management', 'secure network access control']"
 IT Systems Administrator,"windows system administration,virtualization,dns,ms exchange,file server,patch management,dhcp,remote infrastructure management,domain controller",windows system administration virtualization dns ms exchange file server patch management dhcp remote infrastructure management domain controller,"['interplanetary file system ipf', 'sdn controller management', 'security patch management', 'security patch management automation', 'domain specific analytic']"
DGM – Maintenance,"lt breakers,water system,substation,plant operations,ht,maintenance,chiller plant",lt breaker water system substation plant operation ht maintenance chiller plant,[]
 Search Engine Optimisation /SEOSpecialist,"support,seo,digital marketing,cv,analytical skills,training",support seo digital marketing cv analytical skill train,"['digital marketing', 'digital marketing specialist', 'support', 'podcast marketing', 'storytelle marketing']"
 Nutrition Executive (For A MNC Nutrition Company),"territory manager,sales,pharma sales,pharma selling,territory business manager,marketing executive,pharma,field sales officer,business executive,healthcare,business officer,nutrition",territory manager sale pharma sale pharma selling territory business manager marketing executive pharma field sale officer business executive healthcare business officer nutrition,"['sale manager', 'manager']"
